Zone#,PD,Population,Work General,Work Manufacturing,Work Professional,Work Retail,Work Unknown,Employment,Employment General,Employment Manufacturing,Employment Professional,Employment Retail,Employment Unknown,X,Y,Internal Distance,Retail Level,Other Level,Work Level,Internal Density,Parking Cost,Artirial Percentage
2372,31,0,0,0,0,0,0,0,0,0,0,0,0,632159,4854510,195.2364663,0,0,0,0,0,0
2373,31,0,0,0,0,0,0,0,0,0,0,0,0,631843,4856184,167.6729621,0,0,0,0,0,0
2374,31,0,0,0,0,0,0,0,0,0,0,0,0,631586,4856640,129.2649089,0,0,0,0,0,0
2375,31,459.71,0,0,0,0,0,0,0,0,0,0,0,631357,4857470,206.962557,0,0,0,0,0,0
2376,31,3825.5,0,0,0,0,0,0,0,0,0,0,0,631025,4859466,241.0310031,0,0,0,0,0,0
2377,31,5168.97,0,0,0,0,0,0,0,0,0,0,0,630771,4861369,240.9948709,0,0,0,0,0,0
2378,31,2801.82,0,0,0,0,0,0,0,0,0,0,0,630673,4862547,263.2939844,0,0,0,0,0,0
2379,31,86.88,0,0,0,0,0,0,0,0,0,0,0,631375,4863480,369.4975568,0,0,0,0,0,0
2380,31,3585.33,0,0,0,0,0,0,0,0,0,0,0,631399,4861092,240.2780796,0,0,0,0,0,0
2381,31,76.76,0,0,0,0,0,0,0,0,0,0,0,632996,4861362,236.8262959,0,0,0,0,0,0
2382,31,1624.23,0,0,0,0,0,0,0,0,0,0,0,632263,4860636,203.3143434,0,0,0,0,0,0
2383,31,5348.85,0,0,0,0,0,0,0,0,0,0,0,632176,4859324,273.123395,0,0,0,0,0,0
2384,31,3584.47,0,0,0,0,0,0,0,0,0,0,0,632088,4858120,180.4571356,0,0,0,0,0,0
2385,31,446.01,0,0,0,0,0,0,0,0,0,0,0,632131,4856890,144.3506533,0,0,0,0,0,0
2386,31,5315.57,0,0,0,0,0,0,0,0,0,0,0,633270,4858102,200.1409226,0,0,0,0,0,0
2387,31,0,0,0,0,0,0,0,0,0,0,0,0,633253,4857530,100.3612918,0,0,0,0,0,0
2388,31,4203.65,0,0,0,0,0,0,0,0,0,0,0,633474,4857188,103.5736453,0,0,0,0,0,0
2389,31,89.38,0,0,0,0,0,0,0,0,0,0,0,632340,4856524,157.981539,0,0,0,0,0,0
2390,31,2395.05,0,0,0,0,0,0,0,0,0,0,0,633751,4856844,196.1311211,0,0,0,0,0,0
2391,31,0,0,0,0,0,0,0,0,0,0,0,0,632518,4854663,166.3557934,0,0,0,0,0,0
2392,31,0,0,0,0,0,0,0,0,0,0,0,0,633260,4854750,191.2169361,0,0,0,0,0,0
2393,31,0,0,0,0,0,0,0,0,0,0,0,0,632878,4853770,139.9794628,0,0,0,0,0,0
2394,31,0,0,0,0,0,0,0,0,0,0,0,0,633118,4852934,167.7138767,0,0,0,0,0,0
2395,31,0,0,0,0,0,0,0,0,0,0,0,0,634157,4854649,177.7195043,0,0,0,0,0,0
2396,31,0,0,0,0,0,0,0,0,0,0,0,0,634412,4853348,148.9510546,0,0,0,0,0,0
